n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.61, err=5.367619523155661
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.62, err=5.367619523155661
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.63, err=5.362626388715516
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.64, err=5.365122955935588
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.65, err=5.382598926476096
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.66, err=5.382598926476096
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.67, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.68, err=5.390088628136312
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.6900000000000001, err=5.390088628136312
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.7000000000000001, err=5.38759206091624
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.71, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.72, err=5.385095493696167
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.73, err=5.392585195356385
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.74, err=5.392585195356385
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.75, err=5.392585195356385
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.76, err=5.390088628136312
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.77, err=5.392585195356385
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.78, err=5.39757832979653
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.79, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.8, err=5.39757832979653
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.81, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.8200000000000001, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.8300000000000001, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.84, err=5.395081762576457
n=2, i=(0.9982000000000001, 0.0017999999999999128), a=0.85, err=5.400074897016602
